,Difference
处理,0.0023318427608463167
阿拉伯,0.0023224184150307872
已经,0.0023186713659055502
一旦,0.0023172485191948772
复苏,0.002315916950948007
作用,0.0023121774599167873
协商,0.0023074610858694754
博拉,0.0023054995014707784
影响力,0.002302915012137578
上述,0.0022865155838251773
春节,0.002279679246398831
复杂,0.0022790578161531664
2012,0.0022786090906457804
发挥,0.002275443470680122
关注,0.0022716756813276973
和谈,0.0022695347707999006
主张,0.002254061053511042
双边,0.002252907012176658
世纪,0.0022435431245059834
强化,0.0022371337052813794
意义,0.0022281887000198813
日本首相,0.002225802282307727
金融时报,0.0022147564917353434
首次,0.002209937561696231
提升,0.002205544968010271
能否,0.0021879993482595474
波茨坦,0.0021750893603067864
思路,0.002173410028618728
促进,0.0021724130949558745
文化,0.0021703477484073253
公告,0.0021685102452900454
产能,0.0021643998596214036
崛起,0.0021617192960843583
美俄,0.0021580970957291463
分歧,0.0021427125737855674
伙伴关系,0.002129117396090143
真诚,0.0021280484117110294
南京大屠杀,0.002119208991861521
航行,0.0021182979070284848
格局,0.0021171537668972663
感受,0.002111384581157257
安理会,0.002103543102773826
供奉,0.0021003019395411516
区域合作,0.0020993254431597537
怎样,0.002098917618175631
十八,0.002097792678168672
出现,0.002097250927834758
层面,0.002096823282353214
展开,0.0020928041002935913
推动,0.0020902772575827153
阶段,0.002080502129966479
理念,0.002078895946971915
实现,0.002074457363522998
进入,0.002074099242415954
同样,0.0020736291836539944
南南合作,0.0020733226538504606
协定,0.002068518563214074
东海,0.0020645957825135373
中捷,0.002062824990869079
与此同时,0.002059199296338323
方式,0.0020590374203865065
海洋法,0.0020508948964197697
作为,0.00204750507463786
慰安妇,0.0020473337708219177
集体,0.002038827809229346
做出,0.0020381355732194697
非洲,0.0020251672518760942
模式,0.0020231447756285884
各自,0.0020223881887378842
拉美,0.0020223113934488223
网络安全,0.002022291719925646
实力,0.0020217295231988617
民族,0.002017749633343331
平台,0.0020041489187384454
阿勒颇,0.001987528384292765
结构,0.001985833391821787
更为,0.001968143845428345
中菲,0.0019651446215834347
维和,0.001963339528047701
自卫权,0.0019629126419141315
争端,0.0019618523136900323
实实在在,0.0019484031163793372
哈萨克斯坦,0.001946283115489593
双边关系,0.001943552906627267
世博会,0.00194056202488743
自贸区,0.0019384081013680077
建立,0.0019336991809667803
历史观,0.0019320447388259264
捷克,0.0019269950715823136
反导,0.0019259664088632435
整个,0.0019257861745211528
乃至,0.001925772159967986
局势,0.0019168988221125493
出席,0.0019118323129327036
长远,0.0018873017510057668
进一步,0.0018866944739861216
汉堡,0.0018774523573558725
谈话,0.0018764325748682942
中俄关系,0.0018755764563081556
缺少,0.0018668052226128247
右倾化,0.0018657444449340452
中芬,0.0018652182202696386
有所,0.0018642408352208574
奥运会,0.0018632756552866018
销毁,0.001860679313366828
贸易额,0.001860043871227342
即将,0.0018528256916753119
记忆,0.001850517447344263
不同,0.0018370948266415114
核能,0.001820667166685718
反省,0.0018201316522584263
日军,0.0018178396338713483
投资银行,0.0018145635242251225
主要,0.0018091458690942218
城市,0.0018085029087332363
筹建,0.001808198489987949
伊朗,0.001806413768735617
欧亚,0.0018056459654524357
前行,0.0017995685841266226
体育,0.0017958416596116408
内阁,0.0017829488769331922
主席国,0.0017792608226668391
因为,0.0017780265107781778
具体,0.0017651584217395757
伙伴,0.0017627498302201514
一位,0.0017612998845266618
达成,0.0017608887824625136
工业化,0.0017542346956212632
核电,0.0017511399057848168
一道,0.001739276290847869
潜力,0.0017364602378861066
岛屿,0.0017278900769820184
开始,0.0017254891695570262
友好,0.0017244585508431843
结构性,0.001724373245983337
新西兰,0.0017240327098860548
战争,0.001721241591560587
这样,0.0017196627158257236
中蒙,0.0017189509214447598
准则,0.0017135501975367611
恐怖袭击,0.001711605305767177
强劲,0.0017109236301671637
引擎,0.001710490847161373
注入,0.0017073489176227807
奥运,0.001701165562011513
美好,0.0017005861423032911
探索,0.0016894689174658337
能量,0.0016859555227030035
朋友,0.0016784984361443932
本次,0.001674238959428272
海洋权益,0.0016739089665107002
睦邻友好,0.001672807538598044
合作伙伴,0.0016723995820218896
东京,0.0016719294530518035
内涵,0.0016713108394948632
相当,0.0016637060715473297
学习,0.0016630474275029657
重点,0.0016583846321592175
菲方,0.0016528709122425427
两个,0.0016517072782775534
相互,0.0016479845735803095
展示,0.0016466405787227633
高层,0.001638792640461342
共同,0.001638514446720727
甲级战犯,0.0016377700854198975
密切,0.0016348416832055483
安排,0.0016345660212747641
照顾,0.0016279115277356075
精神,0.0016184308986854053
国际舞台,0.001618421519902013
包容,0.001617871799413759
友谊,0.0016062152565567787
apec,0.0016061099550452218
深化改革,0.0015983969950429718
石油,0.0015941711342704877
环保,0.0015931096444200096
审判,0.001587397176013413
十年,0.0015871005863469481
21,0.0015865160302766202
中亚国家,0.0015846195830559308
全方位,0.0015797812649759827
五项原则,0.0015764044764111362
增强,0.0015759731513902329
纪念,0.001575881627893183
修改,0.001575435780147229
对于,0.0015743056307440367
支撑,0.0015693028072193112
是否,0.0015676872626885063
一定,0.0015675056171518165
读懂,0.001567319458762377
热点问题,0.0015671223325972898
伦敦,0.0015659589534293516
体现,0.0015652917475453961
开启,0.0015633854987251962
解禁,0.0015559779241746004
丝路,0.0015534191114857081
活力,0.0015525372729172692
常态,0.0015500454615219486
两国关系,0.0015498442653963077
赢得,0.0015479595071163906
倡导,0.0015415830849544554
依旧,0.0015413441649968099
有着,0.001537589146878571
具有,0.001523518788680977
放缓,0.0015235062578954385
步入,0.0015223587913056353
随之,0.0015220775077040417
摆脱,0.0015190721163667537
巩固,0.001517552416505106
通过,0.0015126385989759992
积极,0.001512379752760775
重大,0.0015094278525921321
南极,0.0015091159231386702
成熟,0.0015066010566339581
积累,0.0015030728546836414
60,0.001501888461023777
国际事务,0.001499657424518415
布局,0.0014968443910142195
主权,0.0014954091549190824
进而,0.0014949453952573558
之后,0.0014924302083124345
的确,0.0014904521792806274
欧盟,0.0014879583521320715
演进,0.0014843571409551438
供给,0.0014810662884791985
一系列,0.0014785756002077136
历史事实,0.0014781393001452015
反对派,0.0014762171125930203
伊朗核,0.0014759547689484176
材料,0.0014738944320653292
议程,0.0014736397167232273
视角,0.0014712940640739178
南沙群岛,0.001460590761789233
中亚,0.0014604780281508244
提供,0.0014574813757699083
形势,0.001451454356782577
四个,0.001444493383691393
保持,0.0014443724951119152
印尼,0.0014393590126278563
年代,0.0014349926672271244
路径,0.0014312400362211752
迈出,0.001424673901292237
蓝图,0.001422040680018671
当前,0.0014220241293058013
框架,0.0014214937502512281
波兰,0.0014176211207524328
局面,0.0014135491073389485
摩苏尔,0.0014128096526217588
防卫,0.0014114393813570555
学者,0.0013978466640506542
抗战,0.001396627608631818
以及,0.0013957676251412886
角色,0.0013955906082622805
预测,0.0013924533654041814
顶层,0.0013866300363597872
凝聚,0.0013865674910587002
西亚,0.0013865493866621454
成员,0.0013861798080979032
积极参与,0.0013856254739214634
突出,0.001384662591777328
首相,0.0013824457248461748
均势,0.0013790789500393902
帮助,0.0013769665998029073
尤其,0.0013765396322123996
哪个,0.001367272192569663
紧密,0.0013652568201395318
很多,0.00136037100771025
当事国,0.0013552127407929842
契合,0.001354415032299976
中日关系,0.0013495285089847923
包含,0.001341765582554637
2008,0.0013411437406337188
普京,0.0013407577891753385
新动力,0.0013377269676839785
战役,0.0013363416986664934
珍珠港,0.0013361471988985207
新形势下,0.0013250347455537605
其中,0.0013244113701594584
感情,0.0013243377415888013
智慧,0.0013239278810742994
制约,0.0013214739057365867
转变,0.0013206981110827603
沿途,0.0013193016493642706
并未,0.0013180061963629858
恐怖组织,0.00131731528071477
另一方面,0.0013167239071600364
新起点,0.0013166274837736898
修宪,0.0013165496055014033
游客,0.0013159764515750694
或许,0.0013149238486543197
将会,0.0013144988174912068
目前,0.0013133468972303104
容易,0.0013122256586310006
判断,0.0013105853010360274
纽带,0.0013105836382645247
焦点,0.0013099033289938043
缅甸,0.001307835136572393
坚持,0.001307806603580564
抗日战争,0.0013072561144123833
旅游,0.0013053419645417464
传递,0.001305216712238224
宪法,0.0013045809492827896
拉关系,0.0013037101929639677
弗格森,0.0012997881685473606
某些,0.0012978275700395983
认同,0.0012964602219066835
着眼,0.0012940114610717037
两国,0.0012904223005838697
协作,0.0012897490662443075
意味着,0.0012884325222126984
固有,0.0012851734277897827
建设性,0.0012841965965654052
有助于,0.0012819239545731392
泰国,0.0012792828327870714
显现,0.0012753847080469354
回避,0.0012743030409195304
划界,0.001271624124251044
经济体,0.0012698638717198183
政府,0.0012671768610552862
构想,0.0012669905462513128
巴黎,0.0012641302979749863
转化,0.0012629260076894434
亚洲地区,0.0012608147838608591
和解,0.0012570822101984824
南亚,0.0012570430684332966
完成,0.0012546167968050758
贡献,0.0012543021803169572
债务,0.001253850418012834
纳粹,0.001253662501683273
启动,0.001252337263961532
多数,0.001249369484252376
变化,0.0012486849872180468
围绕,0.0012479612126863806
深度,0.0012462673044945655
认识,0.0012444649147792075
维护和平,0.0012433520367025092
向前,0.0012427493179557395
那么,0.0012419482023902338
杂音,0.001238485753584197
潘基文,0.0012356369099572775
面貌,0.0012338355872291674
中瑞,0.0012333200055063191
否认,0.001232656321371206
附属,0.0012302775547602014
海域,0.0012297623222158832
尼泊尔,0.001222973267637225
战场,0.0012160752138781318
拓展,0.001215166514085637
第一次,0.0012104916202320779
边界,0.0012103196186474367
坚实,0.00120900482556501
和平解决,0.0012089279139714244
中英关系,0.0012078150123753994
思考,0.0012072010260826159
六方会谈,0.0012035310088490845
适用,0.001202109262460095
自信,0.0011997304477126165
多层次,0.0011995689839800826
难以,0.0011977202633125512
属于,0.0011964790147304108
参与,0.0011951391732121135
宏观经济,0.0011946129450242319
人物,0.0011931519790238567
美韩,0.001186975088253972
方向,0.0011859030727860397
奥林匹克运动,0.0011857472801111255
青年,0.0011857260533801625
埃及,0.0011823908781251125
网络战,0.0011818704036490068
出发,0.0011815769618595292
管理,0.0011809275706087927
决议,0.0011802402144294576
依靠,0.0011779251079383876
涉及,0.0011772921540111913
庄园,0.00117462336686102
打破,0.0011739141303474191
铭记,0.00117138993868366
奥林匹克,0.001170939151549596
强国,0.0011659032105807146
目光,0.0011652294890557664
类似,0.0011628993351626101
简单,0.0011603027062117507
工业,0.0011602125217102983
上合,0.0011592046454282322
总体,0.0011536817766627336
麻烦,0.0011524040836070127
第一个,0.0011492251937709106
取得,0.0011482923612125768
生命力,0.001147327868632532
定力,0.0011470613400437252
增速,0.0011457823788141907
肯尼亚,0.001143931971520047
理论,0.0011437847045501599
千年,0.0011421461166854852
反腐败,0.0011406410902254102
效应,0.0011398943347144786
关键词,0.0011397921148985427
取决于,0.0011389518120666492
系统,0.0011374257027501194
倡议,0.001137061560397337
外界,0.0011366315502955627
客机,0.0011356954998244058
担任,0.0011336016587154087
心灵,0.0011324633215027513
注意,0.0011322960463726714
稳步,0.0011307916014209097
沿线,0.001130362398076425
比重,0.0011303053496549155
期间,0.0011295670381615587
宏大,0.0011295118393420036
战犯,0.0011284495511641982
阿基诺,0.0011278523160732736
难度,0.001126112169116132
足够,0.0011198224816492011
议题,0.0011175274997958721
战略伙伴,0.0011172643527706002
难点,0.0011153126443022774
勇气,0.0011147273340412274
北非,0.00111457969331004
阿里巴巴,0.0011142898317203797
达到,0.0011137344848966965
相通,0.0011119181362656545
亚太经济,0.0011110234021192242
美伊,0.0011106214198394442
需求,0.0011083320158708585
之一,0.0011073504233352922
政治体制,0.0011063955042295323
总部,0.0011043688297192608
调整期,0.0011025971936895074
处于,0.0011005277415031631
清醒,0.0011000074756360714
公投,0.0010967534126228194
联合国,0.001096598836169839
行为准则,0.0010924527575400253
开创,0.001089655748212206
开出,0.0010893951485582136
单位,0.0010877409026680519
过渡,0.0010874933441563023
加快,0.001087010114989886
执政,0.0010852661946951947
有人,0.001082949834480095
美化,0.0010813232175681587
乱局,0.0010812903774145084
压舱,0.0010798715452949572
信念,0.0010790108269441313
国际奥委会,0.001077959316772891
妇女,0.001077127299168021
武装,0.001076271844972247
起点,0.00107571250940173
地位,0.001075295175022895
加深,0.0010746583648972375
一天,0.0010722715784230996
和平主义,0.001071789322963492
角度,0.0010700117143723471
拥有,0.0010643342700920465
领海,0.0010634448007052018
努力,0.0010630794990179604
美欧,0.0010619590210480191
新台阶,0.0010616296575399259
信任,0.0010601844703857504
提起,0.0010593481582826297
耐心,0.0010581347185905459
制定,0.0010568845429753519
或者,0.0010567379384334417
来说,0.0010528494710984604
扮演,0.0010518305325979633
艰难,0.001050657493896506
作业,0.0010500272632980928
舆论,0.0010494460680196896
一次,0.0010494397221091217
项目,0.0010493152605932123
趋势,0.0010487149947654242
互信,0.0010472266718811176
逐渐,0.0010462693271094377
独特,0.0010457796983855286
可以,0.0010451775042274805
刺激,0.001040443150008924
内容,0.0010403840040191536
观察,0.0010391845234271595
纲要,0.0010385924283709755
多元,0.0010376206386136938
万人次,0.0010375616770984543
政治家,0.001036273458886324
里程碑,0.0010351884120065693
邻居,0.0010351446826464287
不管,0.0010349408218170851
这为,0.0010347141006758413
秘鲁,0.0010322898693385424
涵盖,0.0010322434286416824
能源,0.0010308854607713048
处在,0.0010292261068506811
强势,0.0010281474322339343
坚实基础,0.0010280407624608497
平稳,0.001027712901555618
内战,0.0010271991926571454
主办,0.0010257534927828008
召开,0.0010255932058958414
极端,0.0010229718922453329
低迷,0.0010227262730149772
2011,0.0010219364750403254
无力,0.0010183981541819545
首轮,0.0010179538019192327
拉近,0.001016907515864248
诉求,0.0010155927915101717
适应,0.0010133727888026597
加大,0.001012964926361291
到来,0.0010129214307730656
分量,0.0010123641558997816
中德关系,0.0010116580188606048
并非,0.0010095883045057436
由此,0.0010091819238717211
开局,0.0010086601636032457
生存,0.001008436264446268
主流,0.001002704794456639
话语权,0.0009995485731045615
制订,0.0009989064126660215
诸多,0.000998124179477926
现实感,0.000995251941048186
介入,0.0009951521178301788
安全观,0.000994945823185915
东亚地区,0.0009940462352629289
基金,0.0009915500969747367
联动,0.0009915413035688457
法西斯,0.000989244523612702
中斯,0.000988271823320957
首先,0.000988250981362526
执行力,0.0009848915102030394
会谈,0.0009845367393824316
如果,0.0009833288641630765
理政,0.0009832826531671465
安塔利亚,0.0009820970177869823
新理念,0.000981755339834542
增量,0.0009800797992837074
打击,0.0009788448472993626
益处,0.0009758660800365477
舞台,0.0009749252577866754
审定,0.0009727217961297301
部分,0.0009708390907512499
汇聚,0.0009693653692715233
逐步,0.0009688509344868137
改善,0.0009679594930848755
机会,0.0009674522753442228
金融机构,0.0009667675185263888
资源,0.0009663452983224804
敕语,0.0009658130563186364
周年纪念,0.0009653950209937111
强有力,0.0009643189433142454
安理会常任理事国,0.0009641144272967973
一度,0.0009637179616231622
贫穷,0.0009632003177625047
背后,0.0009599457400676138
影响,0.0009596412354477887
包袱,0.0009593308921093345
再度,0.0009588620502433296
域外,0.0009585241023536479
状态,0.000958105868267166
以往,0.0009576621000133346
侵占,0.0009572759096960256
药方,0.0009564786052458233
南沙,0.0009560280471672455
中英两国,0.0009543875747130158
苏联,0.000951192604430336
imf,0.0009510418672657615
政坛,0.0009509533109306942
不同于,0.0009493638115433867
面向未来,0.0009478289654002481
助推器,0.0009471609238123153
重任,0.0009465376341153949
窗口,0.000945669273264932
它们,0.0009456096980036157
期待,0.000944809033566394
高速,0.0009432502146083537
金融风险,0.0009391895877880389
如何,0.0009380592591653972
标志,0.0009378803613729575
开罗宣言,0.0009372950971918839
郑重,0.0009371788379344543
市场经济,0.0009367116093083414
当选,0.0009358713499273085
共进,0.0009357566837109669
国情,0.0009357380779404069
利比里亚,0.0009348266517019075
水平,0.0009339472761468485
盛会,0.0009338266343725144
乌法,0.0009322254275105149
提到,0.000931993067374606
引起,0.000931356239712989
既有,0.0009304304708499982
右倾,0.0009299497368444851
塞尔维亚,0.0009280353285055307
建议,0.0009273019787473487
创始,0.0009271893786136384
自贸,0.000923453460569921
珍视,0.0009233715436764002
并进,0.0009205645219522766
治理,0.0009170776080569976
顺利,0.0009168410135549995
看上去,0.0009163420848976251
心中,0.0009161182251189474
日内瓦,0.0009148254315269673
一步,0.0009144147633341343
几年,0.0009137814221416417
提高,0.000912855161231269
拉动,0.0009113119220227187
内生,0.0009094870439093742
三中全会,0.0009093667934440871
光彩,0.0009092361639967942
合作项目,0.0009087432051015688
不安,0.0009085387576207176
派出,0.0009060835230549521
贸易协定,0.0009060778777628461
博鳌,0.000903676975723348
马来西亚,0.0009015853060844905
蒙古国,0.0009006046123806774
力量,0.0008979058666159952
大众,0.0008975922725407727
经济总量,0.0008975325743448838
每年,0.0008943547116190991
在于,0.0008939689871525604
总统,0.0008930463962388384
rcep,0.0008926871794226532
备受瞩目,0.0008924734252210311
登上,0.0008904387757580569
中俄印,0.0008900751062358871
差距,0.0008890258342732233
三世,0.0008878417155824895
邪恶,0.0008874782258780209
第九次,0.000886580530845094
追赃,0.0008865184600140066
解释,0.0008862563204831915
莫斯科,0.0008857238787738025
事情,0.0008850014311950621
希腊,0.0008842605426208036
五国,0.0008842559717377441
共谋,0.0008842265075577115
丰富,0.0008811338890804352
地中海,0.0008796262790815638
融资,0.0008794623470185531
矛盾,0.0008788042338965943
宏观,0.0008778214602332683
邓小平,0.0008777697539910178
变成,0.0008771386682670857
荷兰,0.000876763528715403
之中,0.0008763933610307507
加以,0.0008732399659353649
结构调整,0.0008707866220891714
共鸣,0.0008705345182177916
历史进程,0.0008702820913525371
乐观,0.0008701123906385305
阿斯塔纳,0.0008698006598627129
五年,0.0008686305679161798
稳中求进,0.0008684048467548348
不懈,0.0008682551591887081
考量,0.0008656112299773454
合理,0.0008652458437093335
中韩关系,0.0008650506313319056
写道,0.000863911525574821
背景,0.0008622369299033051
经贸合作,0.0008611021871060779
瓶颈,0.0008602834236198442
距离,0.000859110158002514
犹如,0.0008588470774608876
文部,0.0008579794256707295
古巴,0.0008576844529818882
斡旋,0.000855130700301665
监管,0.000854951710961399
清晰,0.0008532225921852401
中哈,0.0008517134269690832
乏力,0.0008516443601077956
良好,0.0008487554785688702
真切,0.0008481420969253113
强调,0.0008480668528822715
生产总值,0.0008464657094081386
这里,0.0008448641604822615
致辞,0.0008447738995839365
开业,0.0008444036565189736
归属,0.0008438160846432447
增长率,0.0008406020300937288
带动,0.0008398351301736378
福山,0.0008394985571597832
开拓,0.0008389493771458605
讲话,0.0008386259304519182
斯里兰卡,0.0008384221782106868
裂痕,0.0008382200994957337
着力,0.0008377577035796925
追逃,0.0008375864974251021
提款权,0.0008375399297568642
细节,0.0008370944065405132
加勒比,0.0008362017498797481
自民党,0.0008359891665922978
相互支持,0.0008357246820255709
投降,0.0008354486355277688
市场,0.0008347857956383375
牵动,0.0008342637034750214
一幅,0.0008333810320144626
领土问题,0.0008330811669167477
触动,0.0008309208499455188
当时,0.0008307990068426017
成立,0.0008304769224416744
打造,0.0008265839610947698
停火,0.0008248067345407426
能够,0.0008239765195149577
走进,0.0008222239189618019
亚金,0.0008220413663008687
土耳其,0.0008217765380398838
妥善解决,0.0008215905240601432
否定,0.0008192884946069817
孟加拉国,0.0008181372364213974
城市化,0.000816610253687461
海运,0.000816509043242013
今日,0.0008153072924637918
乌兹别克斯坦,0.0008116947517286053
沙特,0.0008114509137759629
精彩,0.0008112181444807575
欧债,0.0008110672634844476
一揽子,0.0008110119949188328
中日,0.0008097643549740711
突破,0.0008041117778409806
架构,0.0008039602886530405
殖民,0.0008033515230922248
祭品,0.0008029364406977217
奠定,0.0008026602451080113
一种,0.0008024873949824341
航程,0.0008007167722065966
抵御,0.0008004878408529105
雄安,0.0007990963347014224
主战场,0.0007982912709202015
扎实,0.0007977198567135172
资金,0.0007972948443223354
走廊,0.0007971948053832015
主线,0.0007968193818776108
以色列,0.0007966647715563432
巴尔的摩,0.0007955197190982103
全局,0.0007938894516164219
加沙,0.0007915936574985248
重要性,0.0007906105138737016
韩国政府,0.0007896987137308333
卫国战争,0.000788986300303263
同盟,0.0007881721276379433
巡航,0.0007872741694871987
增长速度,0.0007871780175549063
大家,0.0007870002843667377
申办,0.0007868208335733655
竞争力,0.0007867792731966966
四点,0.000784534802800169
份额,0.0007834799678763135
公里,0.0007828041440800364
建成,0.0007823241211220707
复杂多变,0.0007822768760182947
南海诸岛,0.0007809636929754931
乐天,0.0007796747218994759
一项,0.000775703267935694
候选人,0.0007752151588285407
反法西斯,0.0007736495217730804
迈上,0.0007721928841972607
非政府,0.0007721327196477103
相信,0.0007720187112563387
迅速,0.0007704803088532989
战事,0.0007686987448921057
动向,0.0007686917955431466
束缚,0.0007676211156198552
分配,0.0007675209308651383
座谈会,0.0007671729284772975
之梦,0.000766627461362018
三国,0.0007665798162406804
盘算,0.0007653925903375932
索马里,0.0007650521105189832
相亲,0.0007645630755537367
经验,0.0007640968786548812
访美,0.000763819833193549
综合国力,0.0007636137506534125
追求,0.0007633744863179645
组成部分,0.000763024796411315
强征,0.0007627055122129106
潜在,0.000762415929301109
面向,0.0007615789101905318
其时,0.0007612244113019975
事儿,0.0007612081363340948
为此,0.000760842907218759
现实,0.0007603623318560718
多年,0.0007602751857333865
行将,0.0007595870407632176
总量,0.000757295144323814
亟须,0.0007570716883566051
一块,0.0007564465801002413
而言,0.0007556085853404728
今后,0.0007547025693002934
街头,0.0007546100206479895
本轮,0.0007535032620987023
进展,0.0007533750375202665
受益,0.0007531495991306226
那段,0.0007517337223720957
两大,0.0007512109588334612
朝日新闻,0.0007509666807434609
战前,0.0007500239820599529
真心实意,0.0007491598142124129
空间,0.0007486728285407418
陈旧,0.0007485884702271375
看来,0.0007477867349968313
棘手,0.0007477458403397183
宪章,0.0007476628436786019
产生,0.0007474176699470876
风格,0.0007463109297046627
老朋友,0.0007460303385217616
彼此,0.000745824590432648
信心,0.0007433031108467327
形象,0.000743086732364711
中澳,0.0007428396090129255
完善,0.0007420695379851709
缓慢,0.0007419760227947317
选票,0.0007416965449630609
结束,0.0007408663257230407
所以,0.0007407997616151438
几内亚,0.0007406189743073816
友好合作,0.0007405323296747249
努力实现,0.0007404782850655157
想必,0.0007391315413686865
新政府,0.0007389219221757904
阵线,0.0007389016738512591
所在,0.0007383213465189061
中波,0.0007374389021730071
工程,0.0007371951443781526
气质,0.0007370482048775885
万隆,0.0007353544234351965
热点,0.0007352459115415688
最具,0.0007349880352050047
尚未,0.000734165274039867
飞机,0.0007339031230413995
顺畅,0.0007333103168520296
位置,0.0007311469186824507
硝烟,0.0007306798475164768
双轨,0.0007300521688385659
一帆风顺,0.0007285390530107596
大事,0.0007279726581698408
分步,0.0007279219715454095
换挡,0.0007266987137629423
早些时候,0.0007258081655371169
一起,0.0007241725710983135
防御,0.000724162203058135
传出,0.0007240375113887382
16,0.0007229714404517055
关乎,0.0007224748896070632
早期,0.0007213032152037265
马里,0.0007210013136650179
反倾销,0.0007207314065365961
国际金融,0.0007200567029735083
显而易见,0.0007192249348368509
识别区,0.0007190604851522727
领袖,0.0007178988672754265
审视,0.0007162528419376069
icann,0.0007162209293101368
过于,0.0007160844874192342
持久,0.0007158674406863221
一份,0.0007157922733100233
一百年,0.0007146127794044137
